127.0.0.1 - - [09/May/2022:15:42:29 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/May/2022:15:42:30 +0900] "GET /community/ HTTP/1.1" 200 5992
0:0:0:0:0:0:0:1 - - [09/May/2022:15:42:30 +0900] "GET /community/resources/css/main-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2022:15:42:30 +0900] "GET /community/resources/images/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2022:15:42:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/May/2022:15:42:35 +0900] "POST /community/member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2022:15:42:35 +0900] "GET /community HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2022:15:42:35 +0900] "GET /community/ HTTP/1.1" 200 6366
0:0:0:0:0:0:0:1 - - [09/May/2022:15:42:39 +0900] "POST /community/member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2022:15:42:39 +0900] "GET /community HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2022:15:42:39 +0900] "GET /community/ HTTP/1.1" 200 4698
0:0:0:0:0:0:0:1 - - [09/May/2022:15:42:39 +0900] "GET /community/resources/images/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2022:15:42:41 +0900] "GET /community/member/myPage/info HTTP/1.1" 200 5599
0:0:0:0:0:0:0:1 - - [09/May/2022:15:42:41 +0900] "GET /community/resources/css/myPage-style.css HTTP/1.1" 304 -
